,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2015-12-17,0.50546595,9.4197754,527078.114,513039.33,1085244.944,-156,24,24,112.02,6.228,345.612,330,-14,-14,139.35,2.702,-840.062,-640,26,26,762.42,30.095,5399.725,-141,-1,-1,54.01,0.1855,149.3845
2015-12-16,-0.95360845,8.91430945,519866.0745,526918.2,1094700.0345,-180,13,13,111.07,2.8925,-163.4325,344,-1,-1,139.12,0.1845,517.1455,-666,-15,-15,750.0,12.8025,-9697.3425,-140,-2,-2,53.04,0.295,-192.455
2015-12-15,0.3590969,9.8679179,525741.919,518962.72,1092242.189,-193,15,15,111.94,3.6675,388.5025,345,-14,-14,137.4,2.884,659.396,-651,16,16,753.0,21.248,2739.942,-138,1,1,51.85,0.1615,-196.8715
2015-12-14,-0.5291356,9.508821,525119.01,525215.83,1099133.71,-208,7,7,112.18,1.589,151.011,359,0,0,135.31,0.0,488.24,-667,-2,-2,741.79,1.096,-5931.556,-139,-3,-3,51.14,0.531,0.949
2015-12-11,0.699528,10.0379566,525299.966,524701.09,1098311.686,-215,3,3,115.19,0.5145,645.2755,359,1,1,135.23,0.2065,-792.0465,-665,-12,-12,741.16,8.412,6934.338,-136,-2,-2,51.94,0.307,207.713
2015-12-10,0.136421,9.3384286,518204.526,523995.03,1091166.796,-218,-5,-5,116.04,1.1525,-118.9525,358,-6,-6,137.03,1.683,61.697,-653,-13,-13,752.85,18.9995,1401.0705,-134,-11,-11,52.89,1.925,20.395
2015-12-09,0.6970881,9.2020076,520541.426,516952.85,1087220.316,-213,-9,-9,115.3,1.683,527.877,364,-5,-5,137.38,0.8825,-528.3925,-640,7,7,759.17,4.41,6904.39,-123,-9,-9,53.05,1.2735,67.0065
2015-12-08,0.0045875,8.5049195,516634.175,520466.67,1088041.295,-204,-2,-2,117.52,0.405,8.275,369,1,1,138.28,0.18,-552.41,-647,-14,-14,757.89,10.948,483.372,-114,-12,-12,53.84,1.782,106.638
2015-12-07,0.21072455,8.500332,515256.35,515485.59,1082096.34,-202,3,3,118.32,0.921,152.709,368,-26,-26,140.16,6.539,-337.399,-633,13,13,767.77,13.3185,2227.6815,-102,-12,-12,54.77,2.286,64.254
2015-12-04,-0.95767205,8.28960745,522352.2645,514966.45,1092648.1345,-205,0,0,115.29,0.0,-785.15,394,-23,-23,138.09,5.221,570.629,-646,-2,-2,753.1,2.537,-9219.837,-90,-13,-13,53.66,2.1125,-142.3625
2015-12-03,0.63292815,9.2472795,504665.225,521124.98,1083719.845,-205,-14,-14,115.24,2.821,204.019,417,-8,-8,140.1,1.484,-323.544,-644,-23,-23,766.01,21.85,6398.6,-77,-13,-13,54.42,1.9435,50.2065
2015-12-02,0.2331758,8.61435135,519047.0335,503418.2,1081837.7335,-191,-8,-8,117.34,1.58,200.88,425,-29,-29,140.93,5.539,-687.189,-621,40,40,768.9,48.5,2770.96,-64,-11,-11,54.99,1.463,47.107
2015-12-01,-1.51537765,8.38117555,514157.6155,518454.16,1096752.8955,-183,-18,-18,118.75,3.294,180.486,454,-6,-6,139.58,1.014,844.386,-661,-4,-4,747.11,3.132,-16139.932,-53,-17,-17,54.4,2.1165,-38.7165
2015-11-30,0.54071395,9.8965532,517401.752,513392.76,1094927.712,-165,-13,-13,117.99,1.8265,-80.3365,460,-17,-17,138.61,3.06,441.09,-657,9,9,748.81,3.564,5042.106,-36,-16,-16,54.34,2.12,4.28
2015-11-27,-0.1157775,9.35583925,511106.1725,517535.64,1094687.2325,-152,-28,-28,118.29,4.634,36.086,477,-6,-6,138.0,0.915,218.505,-666,-4,-4,748.46,1.588,-1405.608,-20,-28,-28,54.06,3.598,-6.758
2015-11-25,-0.01217635,9.47161675,517439.1075,510050.72,1094576.4675,-124,-22,-22,119.21,4.653,108.007,483,-37,-37,138.37,7.4555,-305.7655,-662,10,10,748.14,9.825,77.635,8,-28,-28,54.29,3.92,-1.64
2015-11-24,0.49808015,9.4837931,501162.051,517311.66,1092496.191,-102,-27,-27,117.33,5.9265,-132.5265,520,-7,-7,137.65,1.3125,65.8175,-672,-23,-23,752.0,14.8235,5068.0365,36,-28,-28,53.81,3.766,-20.526
2015-11-23,0.0402785,8.98571295,511816.4595,500530.3,1088789.0995,-75,-26,-26,119.27,3.991,111.479,527,-32,-32,138.53,5.872,-25.992,-649,28,28,757.45,23.688,354.892,64,-34,-34,54.67,4.794,-37.594
2015-11-20,-1.1382352,8.94543445,502248.0245,511241.61,1096276.6345,-49,-36,-36,119.2,8.982,-19.342,559,-3,-3,137.37,0.5595,985.1705,-677,1,1,746.53,0.3285,-12323.0785,98,-29,-29,55.37,3.712,-25.102
2015-11-19,0.1598814,10.08366965,514392.2365,502395.04,1100627.7765,-13,-31,-31,117.64,6.1845,-14.7045,562,-28,-28,136.21,5.11,522.85,-678,29,29,738.74,23.7945,1090.7655,127,-39,-39,54.88,6.357,-0.0969999999992
2015-11-18,-0.8837692,9.92378825,502248.0625,514399.06,1108018.8225,18,-21,-21,115.76,3.9165,104.3535,590,12,12,134.79,2.106,1166.254,-707,-19,-19,727.58,10.2695,-10359.8495,166,-20,-20,53.85,2.99,251.55
2015-11-17,0.2508832,10.80755745,511847.9245,501751.52,1105330.4545,39,-26,-26,114.92,6.812,-6.682,578,-20,-20,134.22,4.3,69.48,-688,27,27,729.29,27.216,2481.954,186,-32,-32,53.89,5.12,-35.92
2015-11-16,-0.72301455,10.55667425,504380.4425,511654.0,1115119.1425,65,-14,-14,111.38,3.71,102.45,598,9,9,131.79,1.5075,1170.2125,-715,-25,-25,715.6,20.525,-8606.925,218,-26,-26,52.96,3.783,104.117
2015-11-13,0.86708705,11.2796888,501823.198,503127.3,1104399.588,79,-32,-32,115.2,5.072,-288.732,589,-11,-11,132.95,2.0295,-762.8295,-690,-5,-5,729.17,2.79,9805.61,244,-28,-28,53.17,4.298,-83.178
2015-11-12,0.1155852,10.41260175,496338.5275,500735.0,1104283.5675,111,-37,-37,116.26,7.7885,-45.5285,600,-15,-15,134.7,2.775,-1195.575,-685,-9,-9,731.0,5.7465,2811.1035,272,-41,-41,54.52,6.888,-414.148
2015-11-11,-0.5458267,10.29701655,492409.3655,495142.96,1104957.6055,148,-50,-50,116.37,10.025,-127.705,615,-48,-48,136.09,8.688,-255.678,-676,4,4,732.46,2.818,-4805.458,313,-76,-76,56.12,12.046,-269.426
2015-11-10,-0.3155292,10.84284325,483858.7625,492592.0,1111094.0325,198,-41,-41,116.9,7.708,-910.578,663,-23,-23,135.36,5.98,101.25,-680,-19,-19,724.4,16.416,-2358.126,389,-68,-68,55.53,10.608,12.162
2015-11-09,0.3589668,11.15837245,478313.2545,482662.2,1108073.8145,239,-43,-43,120.96,6.8585,-128.2685,686,-31,-31,137.92,5.704,-2032.774,-661,-8,-8,730.2,4.16,5830.43,457,-67,-67,55.92,9.9495,-79.7195
2015-11-06,-0.1773347,10.79940565,469260.2865,477669.5,1109469.8365,282,-33,-33,121.08,7.4415,37.3185,717,-7,-7,138.6,1.6625,-1186.5725,-653,-11,-11,731.5,6.6055,-1642.8855,524,-79,-79,55.77,10.4675,1018.7925
2015-11-05,-0.347958,10.97674035,470567.8135,468319.74,1110910.1635,315,-50,-50,121.85,10.5,-358.2,724,-48,-48,141.61,8.04,-1268.76,-642,9,9,729.47,5.94,-2034.06,603,-60,-60,53.78,8.52,181.44
2015-11-04,-0.44971435,11.32469835,457644.9435,470022.0,1117224.5935,365,-55,-55,122.56,13.1725,-221.7725,772,-42,-42,142.55,10.29,-175.15,-651,-16,-16,722.0,9.544,-3885.554,663,-62,-62,54.37,8.897,-214.667
2015-11-03,0.1325704,11.7744127,457127.807,456476.1,1119839.627,420,-49,-49,120.79,9.1875,555.5025,814,-31,-31,140.02,4.5725,1213.7175,-635,7,7,718.86,6.2195,-657.2195,725,-63,-63,53.56,8.5365,213.7035
2015-11-02,-0.5002677,11.6418423,448505.893,456500.52,1122870.523,469,-44,-44,120.8,8.294,836.826,845,-25,-25,140.5,4.2875,251.2625,-642,-17,-17,711.06,8.4575,-6616.8075,788,-44,-44,53.45,6.358,526.042
2015-10-30,0.2476963,12.14211,443604.31,447331.25,1118346.1,513,-56,-56,120.99,12.376,-515.006,870,-15,-15,140.44,2.85,-413.4,-625,-2,-2,715.73,1.025,3815.345,832,-28,-28,53.75,4.816,-409.976
2015-10-29,-0.30239265,11.8944137,441186.377,442641.5,1122943.797,569,-43,-43,118.7,11.266,681.164,885,-37,-37,140.36,10.6005,-275.7905,-623,-1,-1,710.5,0.595,-2476.355,860,-74,-74,54.5,15.725,-952.945
2015-10-28,0.48453805,12.19680635,431548.1235,439959.26,1125463.7035,612,-19,-19,117.58,4.3225,2941.8875,922,39,39,137.92,16.575,2719.425,-622,-14,-14,707.33,7.749,-2798.109,934,-18,-18,52.86,2.403,1982.177
2015-10-27,-0.3434283,11.7122683,443614.373,430087.04,1117797.563,631,-54,-54,115.4,14.067,-468.217,883,-84,-84,143.51,15.918,-5149.918,-608,24,24,707.38,23.868,2714.052,952,-100,-100,52.71,14.2,-530.2
2015-10-26,-1.1099558,12.0556966,410516.986,443379.6,1127654.326,685,4,4,118.08,0.98,-2599.98,967,32,32,144.75,6.064,-994.644,-632,-70,-70,701.55,106.75,-6951.21,1052,14,14,53.23,1.904,-553.724
2015-10-23,-3.2253756,13.1656524,436422.924,408855.0,1117325.524,681,-100,-100,118.77,17.0,2747.98,935,-92,-92,144.61,25.07,574.42,-562,112,112,727.5,88.424,-36785.964,1038,-104,-104,53.0,14.092,1209.808
2015-10-22,-0.0720426,16.391028,433312.79,435875.8,1167340.94,781,-27,-27,114.33,5.238,1369.092,1027,-6,-6,141.74,1.608,3258.902,-674,-14,-14,646.7,11.298,-6141.358,1142,12,12,52.18,2.022,792.938
2015-10-21,0.42255885,16.4630706,429241.566,431739.0,1157014.306,808,-38,-38,114.0,10.165,-9.50499999999,1033,21,21,140.25,4.8405,292.5895,-660,-16,-16,654.15,18.016,5106.104,1130,-15,-15,52.99,1.95,-1163.6
2015-10-20,0.3020489,16.04051175,424823.0175,427641.76,1151543.6775,846,-66,-66,111.34,12.012,1688.088,1012,-19,-19,142.49,3.4105,-8814.2405,-644,-3,-3,664.04,1.386,10180.514,1145,-77,-77,52.86,10.9725,-33.8725
2015-10-19,-0.2926057,15.73846285,416383.4685,423816.38,1160538.3485,912,-24,-24,110.8,4.164,619.356,1031,-31,-31,149.85,6.107,-1229.117,-641,-16,-16,661.18,7.816,-2524.036,1222,0,0,52.36,0.0,207.74
2015-10-16,-0.11004965,16.03106855,416013.3855,415068.75,1159116.9355,936,-39,-39,111.78,7.0395,-777.6795,1062,-44,-44,150.45,10.252,324.188,-625,10,10,664.11,5.335,-316.535,1222,-70,-70,53.34,14.21,-330.47
2015-10-15,-0.19996735,16.1411182,406697.602,415709.1,1165906.982,975,-32,-32,110.93,6.336,1625.454,1106,-49,-49,150.91,8.8935,123.6865,-635,-14,-14,654.66,8.778,-6678.078,1292,-23,-23,51.83,3.266,2929.264
2015-10-14,-0.1108525,16.34108555,405554.5755,405643.41,1162137.8055,1007,-20,-20,111.29,3.77,-1604.83,1155,-10,-10,149.6,1.8,448.45,-621,9,9,653.21,7.497,692.253,1315,12,12,51.07,1.728,-644.398
2015-10-13,-0.5171678,16.45193805,409257.1205,405184.5,1170283.8805,1027,16,16,110.82,2.648,204.962,1165,3,3,150.78,0.5595,-1770.2795,-630,6,6,643.15,3.447,-3529.227,1303,47,47,50.85,6.1335,-77.1335
2015-10-12,-0.4054568,16.96910585,411374.7385,408369.24,1172603.9385,1011,0,0,112.73,0.0,-525.72,1162,4,4,152.4,0.776,-1453.316,-636,5,5,642.09,3.1675,-1941.7275,1256,61,61,51.36,9.4245,-133.8045
2015-10-09,-0.03588335,17.37456265,414599.5965,410240.0,1176059.6365,1011,-27,-27,111.64,5.373,2701.227,1158,-39,-39,152.46,11.1735,123.2265,-641,4,4,640.0,4.178,-2859.988,1195,2,2,51.82,0.309,-323.299
2015-10-08,0.35965315,17.410446,401449.65,413677.2,1172685.46,1038,-62,-62,110.06,13.516,-1386.796,1197,-53,-53,149.69,10.2555,2589.9745,-645,-29,-29,641.36,29.667,2005.333,1193,-15,-15,51.09,2.22,388.02
2015-10-07,0.3262517,17.05079285,394872.9485,399931.84,1166269.8485,1100,-79,-79,110.47,15.721,-665.081,1250,-63,-63,150.04,11.529,1705.351,-616,0,0,649.24,0.0,1897.28,1208,-38,-38,51.48,5.073,324.967
2015-10-06,-0.2323156,16.72454115,387582.1815,393525.44,1171311.0115,1179,-32,-32,110.63,6.88,613.19,1313,-21,-21,149.06,6.3735,-347.3335,-616,-5,-5,638.84,4.5025,-2463.1725,1246,31,31,51.05,4.65,-125.84
2015-10-05,-0.11954025,16.95685675,394069.3975,386152.0,1175354.7375,1211,13,13,110.08,3.549,484.751,1334,17,17,145.82,5.1255,5923.4345,-611,35,35,632.0,45.8675,-9120.1775,1215,53,53,50.4,11.0505,1516.5895
2015-10-02,-0.72528795,17.076397,410637.77,392251.2,1183496.63,1198,65,65,108.01,14.0075,1046.4425,1317,108,108,141.05,32.832,1545.318,-646,27,27,607.2,19.224,-9999.314,1162,134,134,48.51,18.626,154.674
2015-10-01,-0.40996745,17.80168495,421507.6295,409433.01,1179982.0095,1133,65,65,109.07,15.6325,-751.4425,1209,56,56,145.31,11.34,-1698.8,-673,24,24,608.37,12.036,-1942.346,1028,118,118,49.42,17.346,292.914
2015-09-30,-0.5183558,18.2116524,435117.034,420486.16,1185699.104,1068,83,83,110.17,31.7475,1200.4425,1153,59,59,143.69,10.3545,2800.1655,-697,30,30,603.28,25.17,-9649.12,910,94,94,49.81,14.006,464.954
2015-09-29,-0.3515205,18.7300082,448127.872,434222.56,1185620.712,985,46,46,112.83,9.499,-3356.739,1094,77,77,141.99,18.9035,-32.7935,-727,5,5,597.28,6.805,-76.915,816,117,117,49.05,21.9375,-48.7575
2015-09-28,0.6377308,19.0815287,447941.037,446768.88,1179505.887,939,62,62,113.85,14.477,-2092.687,1017,71,71,144.42,13.277,-2891.577,-732,-23,-23,610.34,23.8855,12441.1845,699,77,77,50.63,10.9725,-1079.6125
2015-09-25,1.11629035,18.4437979,455700.759,446506.93,1171817.779,877,-9,-9,116.44,2.3085,-243.6785,946,19,19,145.55,4.864,928.936,-709,29,29,629.77,24.534,9665.806,622,60,60,50.17,9.0,811.84
2015-09-24,-0.16928635,17.32750755,461585.7055,455080.32,1180035.1555,886,21,21,113.25,3.591,621.359,927,53,53,142.6,10.123,741.307,-738,3,3,616.64,1.6395,-2523.1995,562,74,74,49.66,9.99,-532.33
2015-09-23,0.02254305,17.4967939,465354.399,460939.05,1175197.649,865,20,20,113.63,3.66,787.54,874,26,26,144.21,4.277,-671.537,-741,0,0,622.05,0.0,244.53,488,55,55,50.4,7.1225,-135.1025
2015-09-22,0.60708305,17.47425085,466827.6185,464607.0,1171548.7985,845,12,12,113.38,2.226,-1509.716,848,25,25,144.62,5.075,-1696.975,-741,-7,-7,627.0,4.3925,9384.2775,433,58,58,49.95,7.946,-106.756
2015-09-21,-0.13750585,16.8671678,468246.218,465649.6,1169435.038,833,8,8,113.67,1.772,1462.548,823,37,37,145.39,8.14,1580.61,-734,-1,-1,634.4,0.749,-4539.059,375,55,55,50.82,7.5075,120.8425
2015-09-18,0.6500953,17.00467365,474478.9365,466767.07,1164519.9165,825,26,26,112.21,6.201,-349.491,786,24,24,146.05,5.256,-2808.276,-733,9,9,636.79,8.046,10052.394,320,54,54,50.7,9.774,-393.674
2015-09-17,-0.7599513,16.35457835,476453.5635,473240.18,1167337.4035,799,0,0,115.66,0.0,-1989.51,762,11,11,148.1,1.8425,-204.1725,-742,7,7,637.79,2.6705,-5149.9805,266,35,35,52.61,5.11,-255.85
2015-09-16,0.02320975,17.11452965,478944.4665,475967.03,1171527.2865,799,8,8,116.25,1.644,102.466,751,13,13,147.84,2.7105,654.1395,-749,14,14,635.47,11.844,-645.624,231,36,36,52.26,5.814,121.116
2015-09-15,-0.68435165,17.0913199,488186.199,478172.1,1177352.919,791,15,15,115.93,3.0225,754.9475,738,25,25,146.6,4.95,1358.74,-763,16,16,626.7,6.744,-9141.804,195,44,44,51.18,5.5,184.6
2015-09-14,0.1570104,17.77567155,487393.0855,487420.3,1175840.3755,776,-1,-1,116.58,0.2225,855.7475,713,21,21,147.37,4.0215,-1230.3815,-779,7,7,625.7,3.626,1967.734,151,46,46,51.08,5.796,-22.996
2015-09-11,-0.13665755,17.61866115,497708.1215,487123.5,1180918.3315,777,6,6,111.79,1.614,1277.346,692,14,14,145.91,3.255,810.445,-786,24,24,619.75,17.676,-3453.396,105,41,41,51.01,6.5805,-0.9705
2015-09-10,-0.4403897,17.7553187,498441.137,496611.0,1184235.687,771,61,61,110.27,19.0625,1839.4375,678,40,40,145.85,12.38,735.32,-810,-10,-10,613.1,9.46,-6995.96,64,41,41,50.56,7.9745,17.3055
2015-09-09,-0.16146525,18.1957084,506262.444,496976.0,1175157.084,710,8,8,113.76,1.696,-1546.896,638,0,0,148.74,0.0,-1390.84,-800,25,25,621.22,17.7375,1370.2625,23,33,33,52.4,4.719,-47.179
2015-09-08,-0.747587,18.35717365,506771.8765,505818.25,1185364.4865,702,23,23,111.75,4.531,2072.509,638,21,21,145.86,4.284,2202.496,-825,15,15,612.49,7.665,-11701.515,-10,40,40,51.4,6.36,-49.36
2015-09-04,0.2167722,19.10476065,522194.8765,506556.5,1191608.6065,679,47,47,108.97,11.139,-692.239,617,23,23,144.57,4.899,-1854.429,-840,-4,-4,600.0,3.778,4633.222,-50,42,42,51.13,6.552,81.168
2015-09-03,0.6480164,18.88798845,502343.7645,520592.32,1179877.2445,632,52,52,112.49,13.546,-1266.386,594,54,54,146.05,10.53,963.09,-836,-20,-20,617.0,16.63,6799.81,-92,35,35,51.96,5.32,-16.35
2015-09-02,-1.038047,18.23997205,545306.5905,500741.31,1189532.1005,580,14,14,110.23,4.564,2639.896,540,0,0,144.74,0.0,1279.8,-816,73,73,605.59,75.774,-14149.974,-127,44,44,51.81,9.042,-150.192
2015-09-01,1.17820195,19.27801905,505992.6405,544458.44,1188467.8005,566,101,101,110.15,22.8765,-2611.9065,540,97,97,144.91,20.079,-2544.419,-889,-100,-100,602.36,100.6,16499.34,-171,5,5,52.4,0.735,439.005
2015-08-31,0.93910155,18.0998171,551301.351,504479.94,1173729.961,465,1,1,112.03,0.1885,-245.3785,443,10,10,147.38,1.51,-35.38,-789,64,64,627.54,45.824,9706.506,-176,36,36,53.13,4.932,-34.732
2015-08-28,0.56650785,17.16071555,501873.6755,551050.54,1169566.1155,464,62,62,112.17,16.182,201.998,433,66,66,147.75,17.523,-207.863,-853,-89,-89,632.82,104.9755,5635.9045,-212,6,6,53.09,0.981,35.039
2015-08-27,-0.67513305,16.5942077,564623.977,500097.02,1164629.017,402,-51,-51,112.23,17.442,1410.558,367,-37,-37,148.5,12.654,729.226,-764,136,136,639.4,235.688,-8570.128,-218,61,61,53.19,12.5965,-320.9865
2015-08-26,-3.58715565,17.26934075,516764.3775,563658.39,1189379.1375,453,88,88,107.08,42.284,2359.146,404,79,79,144.09,33.5355,2038.1545,-900,-87,-87,610.35,166.779,-39609.549,-279,-8,-8,51.41,1.948,-659.308
2015-08-25,0.125671,20.8564964,583213.064,514203.53,1181093.694,365,-78,-78,111.11,73.32,776.2,325,-17,-17,146.94,6.324,-763.084,-813,172,172,614.91,438.17,1348.38,-271,84,84,52.7,31.206,-104.786
2015-08-24,1.53229205,20.7308254,547503.604,581846.15,1224098.654,443,103,103,94.87,42.539,-90.389,342,54,54,143.47,17.523,-1566.963,-985,-159,-159,573.0,236.274,16013.356,-355,-41,-41,49.13,7.1135,966.9165
2015-08-21,2.52936155,19.19853335,544817.2535,545539.88,1169184.3335,340,4,4,110.43,0.944,-2334.664,288,5,5,151.5,0.8525,-1092.3325,-826,-24,-24,639.78,26.508,28177.392,-314,0,0,54.4,0.0,543.22
2015-08-20,1.0551161,16.6691718,535225.138,543272.34,1159550.658,336,1,1,114.08,0.192,-792.222,283,5,5,152.74,1.065,-357.305,-802,-16,-16,655.46,11.848,11185.252,-314,-8,-8,56.03,1.184,515.436
2015-08-19,-0.4674295,15.6140557,544556.927,533584.68,1159465.277,335,-9,-9,116.1,1.5435,-504.2935,278,-7,-7,155.15,1.1445,-582.6245,-786,9,9,656.6,5.643,-3759.093,-306,14,14,57.18,1.764,171.716
2015-08-18,0.3542369,16.0814852,526985.552,544664.9,1156189.302,344,6,6,116.43,1.245,-223.905,285,6,6,155.51,1.197,-81.897,-795,-23,-23,661.9,13.961,3778.029,-320,6,6,57.67,0.858,70.142
2015-08-17,-0.24001995,15.7272483,551719.053,525683.76,1160613.383,338,-21,-21,116.04,4.515,402.765,279,-15,-15,155.2,2.7225,145.2675,-772,39,39,656.8,17.94,-2900.46,-326,36,36,57.16,4.572,-47.772
2015-08-14,-0.0244966,15.96726825,522199.9025,551912.27,1161532.3125,359,27,27,114.32,5.211,307.989,294,16,16,155.0,3.016,198.024,-811,-52,-52,655.01,38.584,-656.834,-362,5,5,57.18,0.775,-94.145
2015-08-13,0.18401425,15.99176485,555156.2685,521353.89,1157849.4185,332,-36,-36,116.04,14.022,-15.102,278,-31,-31,156.06,7.0835,-313.2035,-759,42,42,659.32,30.891,2339.679,-367,54,54,57.03,10.611,-171.231
2015-08-12,0.225591,15.8077506,509484.776,555098.82,1155245.356,368,45,45,112.53,15.4125,671.7875,309,22,22,154.26,3.443,224.907,-801,-77,-77,663.08,87.1255,1067.1945,-421,-18,-18,56.94,2.709,292.021
2015-08-11,-2.5512548,15.5821596,560408.936,507878.83,1149576.406,323,-36,-36,117.81,9.828,-2090.878,287,-23,-23,155.96,3.8525,-377.9025,-724,109,109,669.2,77.3355,-23527.7655,-403,68,68,58.01,8.942,483.998
2015-08-10,0.3037307,18.1334144,525071.194,560127.3,1176770.474,359,33,33,116.53,6.1875,1468.2825,310,28,28,156.77,5.474,453.626,-833,-58,-58,639.48,43.413,1506.837,-471,1,1,58.26,0.1585,-391.4385
2015-08-07,0.56649595,17.8296837,569306.077,523639.21,1174348.647,326,-4,-4,114.58,0.876,124.064,282,-13,-13,155.89,2.184,-346.174,-775,57,57,640.23,43.1205,5816.0295,-472,80,80,58.18,12.24,71.04
2015-08-06,0.072337,17.26318775,517088.2575,569108.64,1170304.1975,330,45,45,115.97,16.515,-131.265,295,45,45,157.13,9.135,-440.585,-832,-70,-70,645.0,58.45,942.15,-552,-4,-4,58.82,0.53,353.07
2015-08-05,-1.162035,17.19085075,590977.2275,515658.58,1178999.8075,285,3,3,112.95,0.9675,220.7025,250,-19,-19,159.1,3.7525,99.7475,-762,114,114,634.33,55.005,-11705.985,-548,145,145,58.94,18.705,-234.815
2015-08-04,-0.000339149999998,18.35288575,518656.0275,590946.33,1184325.2375,282,56,56,117.42,19.74,-1034.22,269,49,49,158.4,14.5775,-297.9775,-876,-110,-110,628.42,53.46,1356.6,-693,-34,-34,58.37,4.624,-27.794
2015-08-03,-0.5738182,18.3532249,608585.389,517641.02,1187910.049,226,-29,-29,121.5,5.4085,-645.9685,220,-32,-32,161.7,5.488,-736.368,-766,119,119,625.34,55.9895,-4313.4595,-659,196,196,58.62,24.206,-42.386
2015-07-31,0.61491285,18.9270431,503092.101,609036.75,1183881.831,255,39,39,122.6,5.577,-287.397,252,41,41,161.4,7.4825,234.0375,-885,-162,-162,631.38,122.877,5858.403,-855,-66,-66,58.79,9.075,344.085
2015-07-30,-0.04658785,18.31213025,622889.7725,501827.97,1185112.2225,216,-55,-55,122.32,8.8825,-179.6525,211,-53,-53,160.5,10.8915,-69.5915,-723,163,163,630.0,103.5865,-266.1765,-789,333,333,58.73,45.288,49.542
2015-07-29,-0.3883488,18.3587181,488085.111,622821.12,1186764.281,271,43,43,123.15,7.224,-103.024,264,64,64,160.0,11.808,265.952,-886,-211,-211,628.8,121.536,-3434.716,-1122,-100,-100,58.56,13.6,-611.7
2015-07-28,-0.2170981,18.7470669,637091.869,486896.15,1184128.659,228,-90,-90,123.38,15.705,178.275,200,-34,-34,159.91,6.086,218.474,-675,202,202,632.83,159.58,-1784.22,-1022,574,574,58.45,83.23,-783.51
2015-07-27,-0.3864271,18.964165,481938.79,637025.4,1195227.43,318,74,74,123.09,14.208,-460.008,234,112,112,159.0,25.312,-100.432,-877,-262,-262,621.0,362.215,-4277.835,-1596,-213,-213,57.9,36.636,974.004
2015-07-24,1.3377078,19.3505921,647369.721,480470.1,1177707.321,244,-104,-104,125.32,20.956,-165.356,122,37,37,161.29,9.102,-234.382,-615,150,150,647.0,184.725,12150.075,-1383,959,959,59.7,154.399,1626.741
2015-07-23,1.4195757,18.0128843,461774.393,647070.73,1166147.853,348,8,8,126.2,2.204,-30.924,85,110,110,160.27,29.535,96.565,-765,-302,-302,661.27,326.764,13054.876,-2342,204,204,60.29,35.7,1075.24
2015-07-22,-1.2669129,16.5933086,666385.296,460579.84,1169539.936,340,-716,-716,121.99,164.68,-8317.04,-25,255,255,162.73,80.7075,73.9925,-463,-233,-233,660.89,241.155,-477.085,-2546,5443,5443,59.12,683.0965,-3948.9965
2015-07-21,-0.9985007,17.8602215,377735.315,666466.7,1182274.015,1056,256,256,132.85,54.656,-1648.256,-280,-95,-95,164.34,17.29,1981.11,-230,-930,-930,655.21,830.955,-7928.655,-7989,-2136,-2136,58.8,285.156,-2389.206
2015-07-20,-1.12736865,18.8587222,241193.912,377059.03,1188022.942,800,326,326,130.97,53.953,1465.947,-185,-46,-46,172.79,10.166,-128.636,700,-345,-345,659.24,542.8575,-12202.9075,-5853,-2148,-2148,58.96,273.87,-408.09
2015-07-17,10.40338825,19.98609085,195797.7785,240529.52,1200979.0285,474,145,145,129.08,23.345,420.145,-139,15,15,170.33,2.9475,-202.7875,1045,-107,-107,649.0,94.588,104573.062,-3705,-791,-791,58.53,116.277,-756.537
2015-07-16,1.6831178,9.5827026,192987.336,194818.98,1098073.306,329,93,93,127.74,16.6005,453.8495,-154,67,67,169.47,10.9545,-454.3145,1152,-50,-50,565.12,29.275,22829.485,-2914,-161,-161,57.9,22.862,-5997.842
2015-07-15,-0.23852255,7.8995848,184125.678,192117.86,1079557.498,236,121,121,125.72,20.1465,252.1035,-221,41,41,168.48,6.765,16.245,1202,-66,-66,560.13,69.762,-1191.542,-2753,-253,-253,56.26,36.432,-1462.032
2015-07-14,1.75806725,8.13810735,173780.6235,182815.66,1082516.2335,115,80,80,126.04,13.76,-49.91,-262,29,29,169.43,6.3365,193.9535,1268,-17,-17,546.76,14.2035,18438.7665,-2500,-255,-255,55.37,33.7875,-1002.1375
2015-07-13,1.78012185,6.3800401,186197.571,172432.43,1065344.851,35,119,119,125.03,27.608,-152.558,-291,71,71,167.93,13.774,-790.484,1285,63,63,532.88,28.3815,20898.0685,-2245,-142,-142,55.04,21.868,-2153.808
2015-07-10,0.7430218,4.59991825,213850.3625,184930.53,1046599.7525,-84,143,143,121.94,48.906,-585.956,-362,93,93,165.66,17.7165,-1308.2465,1222,82,82,526.29,22.222,11065.658,-2103,-65,-65,54.55,8.2875,-1741.2375
2015-07-09,0.2153449,3.85689645,230123.2445,213069.57,1036768.0145,-227,67,67,123.85,13.735,468.005,-455,68,68,165.34,14.484,-476.674,1140,62,62,523.12,26.722,3972.298,-2038,-50,-50,53.84,7.6,-1810.18
